,Headlines,Article,Published_Dates,Source_URLs
0,Effective UV Phone Sanitizers To Keep Germs Off Your Smartphones,,2020-12-13,https://timesofindia.indiatimes.com/most-searched-products/mobile-phones/mobile-accessories/effective-uv-phone-sanitizers-to-keep-germs-off-your-smartphones/articleshow/79661867.cms
1,Noida: Sanitation workers of Gautam Budh University protest against salary cut,,2020-12-13,https://timesofindia.indiatimes.com/city/noida/noida-sanitation-workers-of-gautam-budh-university-protest-against-salary-cut/articleshow/81088017.cms
2,COVID-19: Save your skin from the excessive handwashing,,2020-12-13,https://timesofindia.indiatimes.com/life-style/beauty/covid-19-save-your-skin-from-the-excessive-handwashing/articleshow/80253519.cms
3,Air sanitizer sprays that will ensure clean air in your room,,2020-12-13,https://timesofindia.indiatimes.com/most-searched-products/health-and-fitness/health-care/air-sanitizer-sprays-that-will-ensure-clean-air-in-your-room/articleshow/80093957.cms
4,Locals clash with sanitation workers over trash removal,,2020-12-13,https://timesofindia.indiatimes.com/city/patna/locals-clash-with-sanitation-workers-over-trash-removal/articleshow/80075785.cms
5,Touchless Automatic Hand Sanitizer Dispenser Suitable For Homes And Commercial Premises,,2020-12-13,https://timesofindia.indiatimes.com/most-searched-products/electronics/miscellaneous/touchless-automatic-hand-sanitizer-dispenser-suitable-for-homes-and-commercial-premises/articleshow/78426243.cms
6,Toilet seat sanitizer sprays: Compact bottles that will easily fit in your handbag,,2020-12-13,https://timesofindia.indiatimes.com/most-searched-products/health-and-fitness/health-care/toilet-seat-sanitizer-sprays-compact-bottles-that-will-easily-fit-in-your-handbag/articleshow/79942220.cms
7,"Delhi: Place us on vaccination priority list too, say sanitation workers",,2020-12-13,https://timesofindia.indiatimes.com/city/delhi/place-us-on-vaccination-priority-list-too-say-sanitation-workers/articleshow/79784869.cms
8,Sanitizer case: Three contractual employees terminated,,2020-12-13,https://timesofindia.indiatimes.com/city/nagpur/sanitizer-case-3-contractual-employees-terminated/articleshow/80659169.cms
9,"Maharashtra made little progress on sanitation, water projects",,2020-12-13,https://timesofindia.indiatimes.com/city/mumbai/maha-made-little-progress-on-sanitation-water-projects/articleshow/80638043.cms
